zipcode3,PREP,N2,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,N01000,A01000,SCHF,N02300,A02300
168xx,37230,140870,21750,4860320,77760,4926911,63630,3321703,26460,28162,18220,91054,16930,70570,11640,164756,14300,178697,770,4980,24935
169xx,17880,53100,8720,1342472,27580,1359925,21520,894778,9580,7720,5630,17658,5250,13681,4090,45280,4080,27071,1120,2880,14691
170xx,158320,581730,89950,19509907,312590,19768633,254110,13679352,106770,125354,70520,313429,65470,239101,39080,603219,54000,515629,3850,16660,72696
171xx,36170,157090,21400,4721348,88820,4777359,75230,3433445,22530,23351,14570,68087,13450,51654,9770,119245,11210,85817,40,4120,18890
172xx,53010,190830,28590,5287733,100270,5355149,80890,3693100,30940,36008,18010,67190,16560,50643,12070,147631,14030,115520,2300,7740,32451
173xx,83890,321920,46930,10286995,171060,10415197,143290,7539404,52830,53242,34340,127609,31850,95473,20700,255915,25290,228123,1980,10370,40355
174xx,40320,161310,22100,5027712,87100,5095526,73650,3713223,25200,32210,17710,90630,16470,68450,9490,134857,13470,116839,160,5020,21304
175xx,91260,316220,44810,9981433,161420,10161706,130130,6634174,55080,97298,35140,143426,32470,106365,27170,515777,30020,295007,4900,7880,32510
176xx,42510,154320,21660,5256053,85110,5342426,71460,3489251,23640,44202,18060,120687,16910,95195,10860,198844,14930,185112,300,4170,17694
177xx,41070,141030,21590,3763244,75760,3801191,62340,2694952,22320,20104,14250,56831,13120,44201,8540,100273,10260,67470,1230,7350,36971
178xx,57470,189790,29330,5435716,102110,5505111,83150,3881555,32610,31907,20630,79744,19060,62062,12590,173692,15320,107502,2320,8670,35528
179xx,29800,101430,15720,2845107,55550,2884883,45940,2036310,16870,15966,10800,31387,9970,24446,5080,63755,7060,44874,330,4470,19386
180xx,140620,502790,75780,18611737,274160,18849541,227110,13679920,93350,110936,68100,330189,63310,256268,34230,594484,53540,428340,420,15870,78090
181xx,45700,153320,18490,4291091,83430,4341683,71030,3158301,19210,29439,14160,98593,13170,77477,10040,133023,11660,107866,0,4810,23400
182xx,39530,122790,18080,3145178,67580,3181192,56190,2317000,17060,17313,12150,39781,11220,30848,7020,82205,8890,44716,110,5340,23850
183xx,49460,153460,21710,4747450,83170,4804953,69220,3489405,20190,18300,14680,55075,13530,41504,11110,140931,11010,67739,60,4820,25330
184xx,54440,171350,28510,5481553,94310,5566437,75510,3696798,28790,40697,23300,112021,21820,90720,12800,211791,16840,110023,500,5990,31487
185xx,25850,94260,13930,2446038,53740,2475391,45500,1808086,12400,20279,9660,33783,8960,28343,5240,61305,6290,28375,0,3550,16023
186xx,45490,147870,23760,4325764,83210,4377975,68440,3081217,22280,24473,18390,73446,17180,59528,8790,117210,12220,68919,520,6860,33028
187xx,33050,111460,17090,3413466,63980,3459369,53630,2453776,16130,19823,13070,56769,12120,45931,6480,113278,9090,58621,0,4440,20538
188xx,22310,65520,10860,1799003,34840,1820380,26960,1145725,11110,9488,7750,27856,7380,21629,4730,53357,5010,28644,850,2830,14064
189xx,109380,360690,57540,20576439,191890,20921071,155000,13920791,86880,156726,66010,539424,61930,422316,30690,766589,55220,1132962,330,8330,46900
190xx,300370,1048480,153180,54258143,563340,55118992,465050,35827566,204190,487186,153930,1773159,143610,1376907,87690,1976101,125890,3772391,20,25050,139517
191xx,305460,1180260,121110,34227393,665860,34651384,571680,26205980,132550,168251,75280,523797,69200,411189,95090,1140730,60130,1234074,0,32920,166025
193xx,112040,419680,58800,24040618,213170,24402940,175760,16216775,87590,178223,73630,720077,69280,567737,33260,807590,62270,1446248,1010,7970,42822
194xx,130350,495170,67970,24109647,264780,24445530,222360,17591706,100720,147762,80200,569158,74700,447537,37220,782603,65570,914375,170,11830,65660
195xx,57640,202970,30350,7170939,108120,7266883,89490,5265769,39040,41072,26760,102568,24690,74887,14050,212778,20850,164503,1240,6450,29397
196xx,58250,193530,23890,5547542,102550,5616153,87070,4073056,26430,36394,17960,111538,16640,84014,11500,177885,14140,148389,30,5550,25694
197xx,69070,297690,34980,10625668,156720,10733786,136360,8166841,42370,44369,29710,144997,27680,116173,18500,206965,23210,194533,140,6260,27075
198xx,47860,192120,27340,8140573,105030,8252476,88250,5446081,31960,59555,24990,305919,23580,260135,12840,191837,20340,369740,0,3970,16788
199xx,88880,350260,59530,10773536,187720,10919161,148770,6725559,54050,71917,35720,171630,33300,131665,24310,324386,29080,261815,1370,7140,26256
200xx,148460,525650,57910,32247345,336550,32834989,290730,22418486,93380,191853,76630,846718,72600,672418,61340,1317915,66180,1979296,40,10110,42450
201xx,205240,928340,80100,46294874,442610,46907777,388900,35938677,156860,199653,112210,670884,105800,524037,84650,1463040,99990,1359399,1680,7500,31215
206xx,82060,338520,36350,13013078,174770,13116334,150700,10217452,56560,41628,25520,80970,23800,61804,28470,168042,20920,132868,1040,4690,20720
207xx,271910,951650,103550,31262728,521960,31522901,435990,24864380,119430,76736,51200,179508,46450,138808,115910,545380,41770,287775,300,14760,67785
208xx,181200,680460,85160,44632329,348650,45530901,283030,28276007,151700,399945,111710,1453676,106180,1155833,81570,1932357,101800,3086792,360,6730,32844
209xx,96620,313940,38700,11643783,171660,11805181,135430,8493665,51910,57619,32580,212475,30520,163690,45510,520219,28540,337655,0,3630,16699
210xx,180320,733890,92630,34091168,380100,34539833,321410,24968766,149360,183342,97240,598214,91830,472938,61650,945151,81760,1066965,540,10280,47174
211xx,114970,451260,56390,20870797,234200,21145581,198230,15072677,87780,105175,55270,328118,52100,255909,41000,556718,46080,592894,820,6860,31978
212xx,255410,974480,117640,31553967,542840,31933301,458630,23574159,127290,152363,77990,614420,73220,495927,91250,848485,62850,948602,0,20300,90074
214xx,24590,86570,14200,5330061,48110,5420593,37890,3132385,19590,37041,14650,148628,13950,116829,9470,217965,13150,338239,30,950,4360
215xx,22200,76070,11640,2006037,41140,2031514,33670,1422674,13090,11751,6320,25105,5870,19172,5050,60365,5110,32161,760,2820,12052
216xx,41640,150830,24230,5674350,80700,5768606,64580,3565074,26330,42881,17060,172241,16160,140724,15370,211618,14250,208288,1290,2900,11622
217xx,110570,460980,56170,17843374,236540,18070379,200580,13464596,81630,81874,50730,229192,47490,176447,36590,489828,41960,407232,2280,7980,34158
218xx,39910,147370,22640,4388674,80370,4449405,66490,2952434,21520,30845,13570,67460,12740,53982,12020,122130,11020,108311,690,4640,19804
219xx,21890,89140,10920,2875265,45840,2902031,39190,2218896,13610,10886,7150,23532,6660,17408,5540,59008,5480,42639,360,1970,8604
220xx,111760,463330,52730,24723613,234210,25108109,197410,17328496,90860,153451,67800,529984,64140,415082,48410,908984,60540,1011632,140,3420,14355
221xx,109280,458750,47710,27262709,226380,27698641,192420,17565162,81070,242580,59870,758466,56590,591622,44820,905331,53380,1688847,140,3930,16360
222xx,49990,197860,20000,14515238,122400,14786568,106550,10496584,49490,85760,41810,351351,39820,275395,21330,510983,36800,597707,70,1670,7277
223xx,83070,314230,34310,17432414,177310,17714010,152170,12710090,60610,80246,46160,362979,43660,293347,35550,616549,40110,696926,50,2810,11765
224xx,39590,211720,25080,7225569,106240,7304973,89920,5289034,30640,33914,19270,93545,17950,74691,15810,154423,15310,141879,410,2050,8028
225xx,34500,185840,20190,6402212,89990,6468627,77670,4799891,25020,23757,15420,69597,14330,53422,13770,137839,12460,114246,640,2020,7694
226xx,42520,177700,23470,5845554,92100,5920363,77730,4243928,23560,31774,17370,99511,16210,78727,13460,165728,13980,144083,1500,1920,6163
227xx,16780,75010,9080,2319014,37090,2350822,31160,1683423,9300,10798,6200,33241,5710,24890,6390,77930,5010,40697,1050,560,2109
228xx,37680,137650,18380,3770546,71340,3837280,60250,2633434,20100,29154,13790,70546,12920,55530,10320,130516,11570,107103,2560,1440,3960
229xx,47980,228680,33560,9960550,121220,10122242,100590,6033390,39680,94035,31420,424923,29580,317215,20430,354350,26800,822848,1440,1690,6028
230xx,44050,213010,28230,7723073,108290,7823819,91750,5664517,32360,39675,24360,137261,22810,111253,16000,190273,19690,205271,1150,2010,7739
231xx,76880,369410,55480,16063994,186650,16291784,154600,10932401,66910,101766,54260,436949,51240,353899,28600,419121,44730,555339,1010,3170,12753
232xx,107630,481640,60040,17722447,272130,17987534,234210,12232943,61140,126444,52990,648025,50290,545906,42390,486539,43190,874396,190,5920,21305
233xx,49000,251210,28780,7813636,125700,7899431,108860,5902354,34370,28723,21980,74557,20500,58859,17440,136404,16990,107459,250,2570,9895
234xx,109870,528580,62700,18821687,277140,19067362,238760,12958192,77110,126221,52360,347241,49220,276886,38140,390005,42670,828481,600,5230,21032
235xx,34950,178480,18520,4832858,98810,4894321,87070,3562552,18600,26469,13040,107969,12240,89042,12630,102041,10360,138782,0,2430,9218
236xx,57120,331560,39410,9391221,176950,9486595,152630,6939276,41750,40906,26670,121456,24840,97719,22580,124353,20200,154992,0,4330,16243
237xx,14560,80690,9500,1854859,43540,1871097,37900,1437224,7060,5693,4500,16894,4200,13823,5380,23246,3120,15424,0,1260,4896
238xx,62600,297720,38150,8333633,154580,8419830,133250,6177462,33690,34588,22390,96362,20880,79342,18570,127594,16430,116226,960,3630,12621
239xx,19760,76620,11800,1762288,39650,1782766,33060,1223478,9730,9437,5800,25942,5440,21357,4810,34650,4500,33630,1640,950,2746
240xx,70240,286160,40680,8799727,153530,8912800,130380,6193931,42270,55835,29010,182376,27270,147781,19530,214928,23530,369568,1980,3750,11514
241xx,49740,186060,29490,5153407,97510,5215141,80680,3573904,28280,36420,17570,101045,16550,82916,12230,128897,13900,131331,2150,2780,8020
242xx,33710,135620,18330,3068363,67440,3099650,56390,2247519,20110,17424,7250,41133,6640,32659,8470,84400,6010,41010,3370,2870,10671
243xx,35080,118510,16710,2592260,61000,2620840,51830,1932792,13910,14374,6660,24704,6140,19572,7490,66697,5550,31504,3190,3640,10090
244xx,29360,119210,19210,3294861,63580,3337115,52480,2264558,20140,22258,12070,72086,11190,59173,8280,85200,9460,81656,1860,1590,4677
245xx,72860,313310,44170,8251564,163360,8348431,138770,5956120,41010,45702,26260,142933,24590,114732,20680,172277,20870,186426,3720,4370,13121
246xx,12360,46860,6050,1050416,22750,1062222,19310,758833,5650,5796,2400,16060,2120,13573,2540,25166,1780,9611,350,1220,4950
247xx,8070,34910,4810,729134,17700,739131,14580,516894,3770,3934,1850,9041,1660,7586,2080,33172,1340,6790,100,920,3689
248xx,3920,19440,2280,331783,8660,333332,7090,241592,1770,921,310,1273,280,980,660,3883,180,212,0,920,4357
249xx,10380,40790,6600,965341,21270,976513,16970,669219,5420,4516,2740,11822,2390,9541,3020,34617,1960,18973,1210,1620,4377
250xx,10490,49240,7120,1119727,24700,1127042,20310,842276,5110,3028,2020,4911,1790,3650,1950,16516,1370,3912,140,1620,7640
251xx,12540,57530,8380,1271881,29260,1281933,24170,947520,5650,4009,2450,7562,2210,5700,2350,23749,1790,5479,210,1530,6976
252xx,11230,46480,6510,1104487,22570,1114239,18190,818599,5400,4311,2160,6769,1930,5192,2250,26712,1580,8088,910,1980,9794
253xx,18910,88210,14390,3062462,48150,3123083,39740,1976136,12540,20309,8400,67973,7840,55908,5660,131993,6740,84601,60,1900,8429
254xx,35220,169830,20970,4873659,87020,4925771,74040,3770342,20150,17030,10980,37991,10070,29877,10790,119126,8770,55993,970,2590,10489
255xx,27840,115030,15270,3043525,55770,3074656,45850,2256436,13960,13295,6460,21606,5880,16325,6100,75145,4880,24409,560,3130,14093
256xx,7580,32780,3510,591543,14740,594962,12290,442693,2520,1611,650,3835,540,3288,1320,12001,400,894,0,1250,5975
257xx,12050,51510,7420,1435276,28280,1453195,23540,1018756,6410,9968,3960,24228,3660,19800,3120,42456,3160,26842,40,980,4093
258xx,14840,63270,8900,1523732,31710,1540205,26420,1093516,7120,8286,3390,16224,3100,13182,3480,39848,2620,16478,90,2030,9391
259xx,7210,32840,4470,634110,16210,638527,13360,476669,3180,1663,1360,3361,1230,2514,1510,10554,920,2612,200,1170,4735
260xx,29930,108020,18910,3094364,58850,3132339,47880,2089878,17300,19181,9880,78442,9190,68397,5640,86012,7460,57200,530,3920,20321
261xx,25110,108290,16800,2791815,56190,2821285,45040,1919135,15860,13648,7910,34028,7210,27506,5830,71121,5770,40509,1060,3820,18195
262xx,15200,64220,9310,1388478,32850,1403747,27190,1010395,7060,5967,3400,10504,3050,8117,3720,37709,2690,15211,700,3150,11974
263xx,16170,71880,10250,1986585,37180,2012037,30740,1409454,9520,10045,5670,28869,5200,24379,4510,63290,4090,29270,870,2510,10940
264xx,10700,45490,6300,1068561,22940,1076619,18840,769265,5280,3899,2590,9173,2270,7562,2390,18727,1890,20002,970,2080,8695
265xx,30720,136720,18190,4342121,74070,4397281,62970,3237191,20000,23402,12280,56685,11370,45506,8910,135728,9960,92745,810,4210,18778
266xx,6130,23250,3150,509324,11380,513749,9490,377368,2400,1896,930,4485,830,3660,1200,8960,750,5931,250,1260,5599
267xx,13380,45350,6950,1052016,23350,1061168,18820,783518,6200,4428,2850,7115,2620,5634,2790,20610,2020,7307,890,1260,5257
268xx,9740,28080,4350,614005,14600,622029,12010,451085,3900,2667,1960,5911,1730,5024,1940,15426,1410,7966,1080,820,2863
270xx,70480,253900,34910,7337888,127210,7429870,105100,5321491,39260,37453,23240,125595,21850,103087,19950,205263,18690,141248,3320,2000,5247
271xx,55260,223920,27340,6924244,116440,7016429,97920,4809405,28580,39980,20490,219436,19540,182033,18590,195299,17180,335790,290,1850,5092
272xx,132700,519790,63000,13887836,260700,14070497,220780,10154852,68750,69447,39830,220721,37510,181996,41110,447432,33650,372730,2830,4330,11509
273xx,87790,345250,41590,9371825,169600,9489344,142910,6911843,47970,45064,26780,134722,25220,106993,26590,278787,22730,206301,2940,2810,7779
274xx,66580,266850,31310,8574319,143390,8712886,121520,5917644,34830,53357,24950,224366,23600,173938,25240,308813,21330,354670,240,2690,7622
275xx,222890,1082210,111100,38303425,518960,38859631,442870,28702881,176000,205563,105240,713970,99430,580809,89080,1092115,92570,1374241,3760,8840,26868
276xx,104400,468110,47260,20177162,252470,20517207,216870,14167411,84120,127794,57320,495541,54650,401840,47520,651883,50690,1315443,440,4480,13824
277xx,54680,249500,26150,8431646,132530,8575237,114220,6242253,37230,41155,24950,182272,23570,148301,25340,285659,21290,283921,190,2040,6327
278xx,107810,437320,54530,10315547,222530,10447981,188480,7347268,52200,59876,26110,147671,24520,123680,31690,236076,22000,220022,1650,5240,11755
279xx,39800,168020,24850,4417724,87220,4489864,71070,2915333,25320,23839,12800,63955,12060,51623,15280,152416,10860,83649,760,2350,6367
280xx,172890,650760,67530,20696186,319450,20939986,275520,15715139,80030,86827,52610,263741,49570,211042,51400,539109,43670,577751,2030,6290,18212
281xx,150530,555810,60800,18557140,268140,18807217,227420,13699289,73880,94862,49620,321625,46750,258234,46150,517425,41840,513167,3110,4970,15142
282xx,212370,793260,66200,32172227,420690,32656931,366660,23763074,92060,161885,76310,658133,72330,520720,84090,931960,66070,1804349,260,9020,28980
283xx,162470,703440,69730,15451972,337550,15638160,287850,11392170,67730,64237,35430,185330,33340,151960,49870,403999,29530,258299,3300,7460,18410
284xx,112690,429860,69050,14143285,227810,14360659,179110,8634022,69660,89761,45200,309161,42790,246396,40800,481586,40280,604877,1550,4660,16014
285xx,96750,422240,50550,10104739,207590,10232264,172670,7030147,54860,51347,26120,127338,24660,100019,30240,257159,22930,202450,1410,3750,9363
286xx,144110,517050,66930,13076899,264000,13250907,221670,9252912,73390,80516,38030,225251,35780,185406,41340,427489,32650,423284,4830,3810,10127
287xx,128150,457380,76260,12582452,241160,12769104,186100,7886231,77370,87452,42660,296883,39990,228823,44520,492732,38920,473930,3540,3390,9153
288xx,28420,105980,16250,3929969,62030,4006124,49110,2348782,20090,37067,14070,150256,13330,117984,12690,182174,12940,231920,170,790,2503
289xx,9080,30270,5770,674050,15580,682546,11560,416667,4760,5447,2410,9054,2240,7000,2930,25029,2260,11943,290,270,911
290xx,101230,393770,45340,11312429,195960,11457835,167130,8226589,44510,42986,28340,118916,26020,93273,30840,305548,23200,263338,2510,4760,15141
291xx,85150,299640,35960,6600576,152630,6676718,129340,4755766,27140,25958,16360,71269,14970,56603,22630,159870,13560,135409,2640,4380,12673
292xx,66690,264830,31530,8295258,145890,8427340,124780,5623853,29240,38659,21560,143948,20000,114741,23350,215000,18030,288123,360,3340,10233
293xx,93770,345210,38180,8598694,172980,8699101,149830,6329736,31290,36711,20220,136712,18600,112178,24190,242321,17250,212215,1470,4520,12389
294xx,181860,678750,80810,24642426,361310,25048011,303950,16259127,79610,145295,62660,533726,58570,427313,64550,933434,54710,1390239,1540,6850,24155
295xx,164010,568520,86300,14641180,300840,14842724,243390,9402574,63800,90353,45040,256889,41880,198608,46010,462177,39230,438864,2190,10040,30140
296xx,224130,864130,101910,25817990,434180,26160830,368180,18517177,97050,126770,72160,437729,66440,346769,67760,734475,61570,851922,3830,10140,29989
297xx,98700,353760,39350,10748564,173900,10871795,149590,8191762,45240,42203,28260,132232,26310,100586,26000,245867,24010,266857,1540,4750,14481
298xx,51470,182860,25360,5007332,92110,5059115,75780,3454773,20530,23001,14570,88514,13400,70477,14290,109842,12060,109172,1440,2300,6655
299xx,52380,194050,35250,7493277,100650,7617418,75570,3835281,30070,77187,25580,352441,24060,278541,18550,272545,23690,527066,430,1780,6136
300xx,551190,2183020,199570,76097203,1062730,77176015,896540,57498266,242540,357662,194540,1234508,179970,968043,265370,2184569,166920,2595910,1790,22640,70573
301xx,274470,1123490,106620,32460562,542780,32859964,463570,24995959,107600,120208,76120,308189,69430,236651,113460,760996,61570,610770,3460,12960,34578
302xx,253460,955500,90300,24530009,468080,24804234,400560,18999952,82060,85371,51250,214198,46780,167369,111100,315731,41420,413051,2290,12040,33499
303xx,222740,790400,70400,44154202,444860,44890051,380180,29685475,105960,355277,97480,1520165,92400,1254507,109420,1282344,87430,3305929,330,9270,29407
304xx,48990,165240,16740,3431627,79990,3472553,68370,2516147,14800,15762,6880,29643,6400,24821,14310,74739,6030,69101,3670,2410,5850
305xx,157650,592760,68150,16250687,281990,16454013,232120,11436445,62520,91404,42120,225806,38750,176121,54970,519587,36510,419339,4020,7040,15932
306xx,80280,329120,36520,9340447,163180,9464390,137370,6376921,35720,52261,25640,165088,23730,131096,31990,268115,21750,317511,3330,3520,6992
307xx,76330,308040,28350,6760609,141710,6836199,124300,5092814,22610,35548,11330,55833,10380,42387,20920,196425,10220,166663,2090,9610,13418
308xx,45400,185010,18740,5022018,86740,5077482,74570,3793511,18520,18504,11070,44487,10320,35132,14810,95338,9210,98259,1200,2560,6401
309xx,41440,160260,18450,4245358,84660,4295957,71860,2982970,14790,23072,10120,66757,9390,53944,13880,109734,8130,134601,200,2140,5712
310xx,108840,426010,48970,10126600,208540,10235730,173940,7243916,48020,42968,21920,96660,20290,78608,38310,180236,18320,175932,5690,4810,11107
312xx,34040,130230,15110,3347459,66280,3395867,55660,2284558,12970,17445,8090,63505,7550,52635,13300,104571,6630,86757,290,1330,3366
313xx,40840,198330,16270,4941629,92960,4994155,82180,3946570,17110,13486,9150,32019,8410,24231,14010,79435,7610,57362,690,1960,6139
314xx,45910,197060,23500,6248739,106310,6337847,90540,4117903,20580,46155,15880,159232,14910,131043,17630,174073,13620,254823,180,1840,5535
315xx,70560,265870,29270,6241055,127940,6313232,107720,4375491,27740,31920,14440,97194,13330,78375,20600,141436,12960,195595,3670,3240,8649
316xx,37890,148960,13760,3209334,72100,3253440,62760,2313482,13520,17528,6670,33016,6110,26462,11210,82730,5800,70472,1980,1420,3000
317xx,82570,289340,30520,6233449,139320,6313002,118730,4494299,25480,31145,14630,88355,13610,75436,25040,133733,11830,114666,3830,2770,6717
318xx,21930,74140,8930,2132086,35750,2156845,30110,1544983,8520,8189,6300,40237,5870,34975,6930,31960,4830,50067,770,930,2174
319xx,44290,152520,15170,3620325,78010,3659221,67020,2688460,12920,16315,10000,111503,9200,100328,13710,48546,7350,85522,120,2200,5368
320xx,126090,566220,80100,20174685,284250,20432163,228850,12909846,85060,175273,52470,524575,47960,409638,42320,492257,46280,1138172,3170,3290,11643
321xx,128520,486910,117340,15941382,273540,16145965,185790,7760569,86220,201220,66520,534346,60980,399981,39300,397703,57760,954362,980,3610,12851
322xx,191440,856830,92070,26692411,457490,27012354,393570,19730233,107900,144470,64400,453509,58080,343481,71480,580881,52670,861520,430,7560,22043
323xx,73450,322930,43170,9890150,176680,10029639,147800,6720189,40110,53308,26600,168040,24110,131815,29770,306973,22370,310238,1730,1680,4653
324xx,65170,291590,38390,8640704,151510,8757372,123350,5408177,34170,62283,19050,142831,17160,108425,24590,280297,17430,439991,2390,2200,7253
325xx,123750,601630,81050,18669790,315030,18918031,256070,12172811,88260,127663,49900,321761,45800,252538,47120,529424,43440,576814,1580,4040,13502
326xx,57110,275730,36670,8354312,149110,8461771,123780,5818236,35910,56572,23520,152182,21340,113298,23870,213087,20100,209193,2130,1300,4281
327xx,201910,870940,112910,28228643,459220,28617998,379870,19950096,103400,184189,79480,517551,72430,396481,77680,698763,67770,1102120,1030,6260,19600
328xx,234500,853290,68310,23307056,466820,23607168,409550,18381063,68800,103489,50290,281049,45310,209992,94680,643363,41850,561617,60,6440,19331
329xx,140300,566900,104940,21013480,309840,21300166,233370,12286767,93660,238498,71100,860908,64830,682783,46650,589274,61430,1484738,490,4680,16469
330xx,567850,1514950,149460,42858063,829810,43404055,685900,31171252,124640,374827,85290,904698,74990,686097,235190,1392024,77480,1919391,670,11780,34450
331xx,657960,1654320,165550,59900253,934790,60690419,758660,39506577,149970,811416,94630,1676927,83390,1191680,297340,2288694,90110,4781749,600,11930,32888
333xx,265390,705860,86740,28191883,397550,28565879,327980,18916060,81640,315676,64740,790981,58650,571202,95170,743851,60020,1722914,210,5280,15852
334xx,462470,1300940,217170,68073526,726880,69022981,552050,33068870,197680,1683284,176920,4713464,162670,3689392,162840,1910505,163700,9362569,620,11240,36307
335xx,151740,712300,83350,21681234,352800,21940935,293170,15781438,87940,117323,55760,295627,50420,218597,54240,455004,46880,552628,1780,4860,16447
336xx,162160,651440,60680,22894735,359410,23217467,309250,16498303,71890,167716,49870,396168,45570,301550,68960,662195,44020,1157783,120,4740,14716
337xx,160620,610240,105460,22981214,360930,23303518,287100,14567845,92540,219576,71010,654690,64700,494864,56260,598945,62200,1286663,20,4690,16210
338xx,142180,630870,84060,14996287,318710,15167702,260360,10390556,62450,94740,45750,307744,39460,233226,45610,339511,33810,438877,2040,4930,15509
339xx,188820,687460,132790,24525364,375590,24876390,278100,12929859,114030,316803,83730,1013015,76810,788627,61900,771739,75790,1754186,840,4980,18752
341xx,121040,360470,77930,26768627,195810,27172904,138880,10078938,74670,597730,63060,2265042,59010,1810780,36800,883015,59590,4569381,380,2370,8744
342xx,197540,691780,151100,29560625,384060,30007729,275300,14632457,126820,424376,105740,1487901,97820,1159804,63920,912870,95370,2710204,740,4590,17097
344xx,86890,363600,74410,9251670,193870,9369122,137060,5270740,51820,89089,36530,217239,32880,157059,27530,261895,31120,241720,1070,2960,10705
346xx,138570,580740,100730,17619541,312620,17846327,239610,11720635,85590,133349,60280,338363,54400,246985,45470,454976,51060,488017,410,4670,16300
347xx,169600,668650,72500,18126554,336980,18347843,280730,13076742,63560,101929,45380,267106,40920,196768,62030,488066,37170,613149,660,4590,15843
349xx,116060,399220,67070,12906135,212650,13078636,161970,7542986,51840,146400,41770,489048,37880,385688,36280,363591,36810,788249,690,3970,13661
350xx,104700,380350,42200,9434722,184380,9538740,156010,7274342,40730,37302,18680,60000,16920,44855,30510,245347,14980,90204,3410,4970,15438
351xx,75640,281950,32840,7801933,136240,7888708,115150,5859639,33570,34909,16280,59258,14800,46012,22060,209659,12700,78539,1740,3510,11228
352xx,115950,421120,48930,17984295,217890,18302034,184920,11391357,56820,152607,44310,530076,41730,437289,40370,573083,37860,1079165,540,4290,13971
354xx,45920,177130,19370,4822864,89870,4881097,77570,3427506,21030,28097,10240,55624,9310,43647,14160,92377,8480,115050,1600,2110,6432
355xx,39690,118260,13680,2522286,56050,2548421,46980,1893829,14400,14801,4770,16102,4250,13172,9340,71977,3810,21167,2450,2400,6421
356xx,102540,318530,39320,8255500,156170,8345719,128280,5832309,44230,46045,19160,87481,17760,70395,24380,230265,16110,157107,5730,4860,15309
357xx,51710,226680,24510,7562077,108510,7641540,92320,5735859,32350,33220,18090,73633,16680,54498,17410,172298,15420,118009,2420,2970,8451
358xx,40530,167670,22710,5888269,90230,5957798,74370,4010107,25560,44807,16590,104837,15380,80604,13890,150964,14160,179795,460,2000,5848
359xx,76280,233300,26070,4985415,110690,5044389,91820,3668857,25040,27513,10490,41285,9580,32620,19710,175001,8780,52812,4970,3680,9546
360xx,63940,237990,27080,5975272,117170,6043623,99440,4360868,29520,25455,12540,47112,11390,35904,18700,137918,10560,95297,3540,2520,7954
361xx,42910,167390,19170,4562644,86660,4623381,73980,3107655,19210,25539,10220,84299,9410,68491,14380,118295,8510,176242,520,1670,4906
362xx,44090,146500,17700,3302527,71890,3335860,59870,2423067,16390,17168,6990,26419,6460,20844,10570,96671,5290,34716,2090,1930,4902
363xx,52440,197330,23190,5027461,96400,5086996,80690,3591821,22540,28006,10960,51855,9820,42099,14260,125483,9500,119397,2840,1780,5923
364xx,22760,81080,9830,1764065,38720,1783513,32020,1278516,8550,8413,3340,12476,3060,9359,6470,38637,2950,23694,2020,1530,4219
365xx,87500,326810,42410,9179741,160760,9298532,130190,6348619,38580,50122,21770,111466,19960,84013,29490,284941,19500,225468,2340,4070,13979
366xx,65900,225150,25920,5907118,115770,5987463,97490,4203599,21320,32984,13400,85463,12270,68609,22200,186543,11190,174509,320,3130,9980
367xx,26090,85750,9070,1635303,41520,1652253,35650,1240055,7710,7160,3090,14134,2780,11248,6610,25587,2650,24028,1740,1320,3738
368xx,61480,208660,20790,5313949,104760,5378050,90580,3955533,22200,23021,12900,66256,11820,53677,18410,132895,10480,112013,1200,2350,6153
369xx,4430,14010,1670,286991,6830,289070,5700,222711,1430,1077,420,1009,340,547,1120,4166,400,3256,270,220,799
370xx,209360,921550,93020,31578588,455690,32129177,388920,22735649,111190,171229,69790,446492,64870,341527,84310,1896238,62070,1581653,9190,8190,27679
371xx,143210,632020,61480,18000325,313170,18262376,271520,13922091,69500,70482,37910,143740,34900,107187,53950,888613,33570,461244,7230,5640,17032
372xx,98240,388540,41420,18518812,226540,18891557,192540,12086658,50870,177525,41850,542111,39420,415804,51100,1422407,37590,1819831,630,2830,10040
373xx,127430,506080,63300,14153506,250010,14350377,207770,10004182,61270,87215,31170,191786,28610,145322,39750,621123,27670,670894,7140,6700,20278
374xx,39430,170120,20460,5280874,93310,5371652,80110,3706058,17670,32601,12290,97205,11310,74754,14470,257019,10940,234407,70,2020,6147
376xx,83400,336210,46990,8849503,175070,8973606,144460,6414763,61750,57875,21990,106975,20160,82803,25050,414210,19480,188430,3840,4740,15012
377xx,77490,290910,40880,7538542,147580,7636417,120570,5229464,36460,42019,18290,91645,16750,68307,22020,325589,16460,160900,4140,4320,12899
378xx,114950,447890,57240,10786748,224400,10921816,186740,7828190,52450,56794,24840,102026,22740,75754,33300,477233,21970,197648,6150,6530,17999
379xx,78610,347810,43020,12692706,183610,12917359,154910,8817348,49140,85454,32630,215811,30370,165388,30880,678815,28490,583756,730,2980,10090
380xx,93970,376030,42020,11920258,186730,12084104,160140,9135012,43510,51822,25470,113655,23570,87841,33790,441456,21780,224569,3080,3990,12720
381xx,163830,633150,63590,18186759,328230,18447834,282390,13136260,49760,131173,36470,383518,33930,296462,73850,732682,31240,873226,610,6360,20225
382xx,26670,91350,12710,2033017,46170,2064839,37560,1404789,12420,12114,5930,24845,5520,19406,6770,89726,5010,47680,2000,1940,4974
